City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Yellowknife,CA,2020-04-15 22:30:17,62.46,-114.35,30.99,63,20,2.24,few clouds,0.0,0
1,Arraial Do Cabo,BR,2020-04-15 22:32:18,-22.97,-42.03,77.0,88,40,5.82,scattered clouds,0.0,0
2,Longyearbyen,SJ,2020-04-15 22:32:18,78.22,15.64,33.8,74,40,27.51,scattered clouds,0.0,0
3,Hermanus,ZA,2020-04-15 22:29:14,-34.42,19.23,60.01,76,56,1.99,broken clouds,0.0,0
4,Bagdarin,RU,2020-04-15 22:32:19,54.43,113.6,41.77,42,35,1.45,scattered clouds,0.0,0
5,Thompson,CA,2020-04-15 22:32:19,55.74,-97.86,26.6,42,40,10.29,scattered clouds,0.0,0
6,Tuktoyaktuk,CA,2020-04-15 22:32:19,69.45,-133.04,30.2,80,75,2.24,broken clouds,0.0,0
7,Punta Arenas,CL,2020-04-15 22:32:19,-53.15,-70.92,50.0,87,95,6.93,overcast clouds,0.0,0
8,Yinchuan,CN,2020-04-15 22:28:28,38.47,106.27,45.0,14,19,3.0,few clouds,0.0,0
9,Tessalit,ML,2020-04-15 22:32:20,20.2,1.01,83.61,19,100,11.86,overcast clouds,0.0,0
10,Saldanha,ZA,2020-04-15 22:32:20,-33.01,17.94,60.8,82,25,6.93,scattered clouds,0.0,0
11,Port Alfred,ZA,2020-04-15 22:30:10,-33.59,26.89,60.01,91,33,3.0,scattered clouds,0.0,0
12,Bengkulu,ID,2020-04-15 22:32:20,-3.8,102.27,78.49,81,87,4.38,light rain,0.0,0
13,Vila Do Maio,CV,2020-04-15 22:28:29,15.13,-23.22,73.4,69,20,13.87,few clouds,0.0,0
14,Mataura,NZ,2020-04-15 22:32:21,-46.19,168.86,51.01,74,50,15.99,light rain,0.0,0
15,Harper,LR,2020-04-15 22:32:21,4.38,-7.72,80.98,82,100,3.13,overcast clouds,0.0,0
16,That Phanom,TH,2020-04-15 22:32:21,16.94,104.71,82.0,78,98,5.46,overcast clouds,0.0,0
17,Hobart,AU,2020-04-15 22:30:02,-42.88,147.33,60.8,72,40,11.41,scattered clouds,0.0,0
18,Asau,RO,2020-04-15 22:32:22,46.43,26.4,46.4,68,6,1.12,clear sky,0.0,0
19,Southbridge,US,2020-04-15 22:32:17,42.08,-72.03,48.99,26,1,16.11,clear sky,0.0,0
20,Madang,PG,2020-04-15 22:32:22,-5.22,145.8,82.87,74,76,1.83,light rain,0.0,0
21,Zhuhai,CN,2020-04-15 22:32:22,22.28,113.57,71.01,100,20,4.05,few clouds,0.0,0
22,Farafangana,MG,2020-04-15 22:32:22,-22.82,47.83,75.06,86,33,12.24,moderate rain,0.0,0
23,Shimoda,JP,2020-04-15 22:32:23,34.67,138.95,50.0,75,77,5.01,broken clouds,0.0,0
24,Port Lincoln,AU,2020-04-15 22:32:23,-34.73,135.87,63.57,66,21,16.71,light rain,0.0,0
25,Puerto Escondido,MX,2020-04-15 22:32:23,15.85,-97.07,80.6,74,5,6.93,clear sky,0.0,0
26,Ereymentau,KZ,2020-04-15 22:28:31,51.62,73.1,42.3,56,45,15.88,scattered clouds,0.0,0
27,Pangkalanbuun,ID,2020-04-15 22:29:35,-2.68,111.62,76.17,88,23,1.39,light rain,0.0,0
28,Nuuk,GL,2020-04-15 22:32:24,64.18,-51.72,30.2,92,98,19.46,light snow,0.0,0
29,Keetmanshoop,NA,2020-04-15 22:32:24,-26.58,18.13,66.2,20,0,4.7,clear sky,0.0,0
30,Mendeleyevo,RU,2020-04-15 22:32:24,56.03,37.22,35.6,100,90,11.18,light snow,0.0,0
31,Kodinsk,RU,2020-04-15 22:28:32,58.69,99.18,37.31,81,95,2.86,overcast clouds,0.0,0
32,Fortuna,US,2020-04-15 22:28:33,40.6,-124.16,62.01,76,1,13.87,clear sky,0.0,0
33,Victoria,HK,2020-04-15 22:27:59,22.29,114.16,71.01,77,20,3.36,few clouds,0.0,0
34,Saskylakh,RU,2020-04-15 22:32:25,71.92,114.08,-2.7,91,99,6.55,overcast clouds,0.0,0
35,Deputatskiy,RU,2020-04-15 22:32:25,69.3,139.9,-3.35,85,100,8.61,light snow,0.0,0
36,Lebu,CL,2020-04-15 22:32:25,-37.62,-73.65,55.44,81,98,7.49,light rain,0.0,0
37,Severo-Kurilsk,RU,2020-04-15 22:32:26,50.68,156.12,32.85,92,100,14.7,overcast clouds,0.0,0
38,Pevek,RU,2020-04-15 22:32:26,69.7,170.31,10.85,93,100,2.39,overcast clouds,0.0,0
39,Bredasdorp,ZA,2020-04-15 22:32:26,-34.53,20.04,57.2,87,63,2.24,broken clouds,0.0,0
40,Bodaybo,RU,2020-04-15 22:32:07,57.85,114.19,39.2,63,0,2.19,clear sky,0.0,0
41,Ushuaia,AR,2020-04-15 22:28:34,-54.8,-68.3,51.8,66,48,2.51,scattered clouds,0.0,0
