City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,78.8,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
5,Rikitea,PF,77.11,scattered clouds,-23.12,-134.97,Pension Maro'i
6,Port Elizabeth,ZA,66.2,clear sky,-33.92,25.57,39 On Nile Guest House
8,Atar,MR,74.34,clear sky,20.52,-13.05,Oumou Elghoura
9,East London,ZA,71.13,clear sky,-33.02,27.91,Tu Casa
13,Sai Buri,TH,79.86,overcast clouds,6.7,101.62,หอพักนักเรียนหญิงโรงเรียนสายบุรีอิสลามวิทยา
15,Cockburn Town,TC,79.09,broken clouds,21.46,-71.14,Osprey Beach Hotel
17,Saint-Philippe,RE,77.0,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
19,Ponta Do Sol,PT,61.0,few clouds,32.67,-17.1,Hotel do Campo
20,Coquimbo,CL,64.4,scattered clouds,-29.95,-71.34,Hotel San Juan
22,Dakar,SN,71.6,clear sky,14.69,-17.44,Novotel Dakar
26,Faya,SA,66.2,overcast clouds,18.39,42.45,مقبرة ال مجمل
27,Richards Bay,ZA,72.68,scattered clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
28,San Quintin,MX,64.15,clear sky,30.48,-115.95,Old Mill Hotel
29,Hermanus,ZA,69.01,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
32,Castro,BR,61.27,scattered clouds,-24.79,-50.01,CHACARA BAILLY
34,Vaini,TO,77.0,scattered clouds,-21.2,-175.2,Keleti Beach Resort
36,Barcelos,PT,60.01,scattered clouds,41.54,-8.62,Hotel Do Terço
39,Saint-Joseph,RE,77.0,scattered clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
41,Ribeira Grande,PT,64.4,light intensity shower rain,38.52,-28.7,Quinta da Meia Eira
50,Lata,PT,60.01,scattered clouds,40.16,-8.33,Casa Maquia
51,Asyut,EG,73.4,clear sky,27.18,31.18,Florence Hotel Assiut
58,Santa Maria,BR,69.48,clear sky,-29.68,-53.81,Hotel Morotin
62,Saint George,US,69.01,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
63,Galveston,US,72.0,mist,29.37,-94.97,Comfort Inn & Suites Texas City
65,Cape Town,ZA,66.99,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
68,Encruzilhada Do Sul,BR,64.11,broken clouds,-30.54,-52.52,Conceição Palace Hotel
69,Grand Gaube,MU,79.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
72,Saldanha,ZA,68.0,overcast clouds,-33.01,17.94,Blue Bay Lodge
73,Caravelas,BR,76.51,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
74,Vila Velha,BR,77.0,few clouds,-20.33,-40.29,Hotel Vitória Palace
76,Port Alfred,ZA,66.0,clear sky,-33.59,26.89,The Halyards Hotel
78,Gat,IL,66.99,clear sky,31.61,34.76,אהבה ברווחה
82,Tsiroanomandidy,MG,65.43,scattered clouds,-18.77,46.03,
95,Chuy,UY,66.63,few clouds,-33.7,-53.46,Nuevo Hotel Plaza
96,Alyangula,AU,71.6,few clouds,-13.85,136.42,Groote Eylandt Lodge
99,Puerto Carreno,CO,75.2,thunderstorm with light rain,6.19,-67.49,Casa Hotel Victoria
102,Ambilobe,MG,73.45,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
106,Santa Isabel,BR,75.2,scattered clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
109,Coos Bay,US,62.01,overcast clouds,43.37,-124.22,Best Western Holiday Hotel
110,Moron,AR,78.01,clear sky,-34.65,-58.62,Hotel Morón
115,Bambous Virieux,MU,79.0,scattered clouds,-20.34,57.76,Casa Tia Villa
117,Mar Del Plata,AR,75.2,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
