City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Arraial Do Cabo,BR,77.0,scattered clouds,-22.97,-42.03,Pousada Porto Praia
9,Tessalit,ML,83.61,overcast clouds,20.2,1.01,
12,Bengkulu,ID,78.49,light rain,-3.8,102.27,Grage Hotel Bengkulu
13,Vila Do Maio,CV,73.4,few clouds,15.13,-23.22,Residence 'I Delfini'
15,Harper,LR,80.98,overcast clouds,4.38,-7.72,Cape View Guest House
16,That Phanom,TH,82.0,overcast clouds,16.94,104.71,ณ ธาตุพนมเพลส Na That Panom Place Hotel
20,Madang,PG,82.87,light rain,-5.22,145.8,Comfort Inn Hotel
21,Zhuhai,CN,71.01,few clouds,22.28,113.57,珠海粤财假日酒店
22,Farafangana,MG,75.06,moderate rain,-22.82,47.83,Austral Hotel
25,Puerto Escondido,MX,80.6,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
27,Pangkalanbuun,ID,76.17,light rain,-2.68,111.62,Grand Kecubung Hotel
33,Victoria,HK,71.01,few clouds,22.29,114.16,Mini Hotel Central
43,Atuona,PF,82.74,light rain,-9.8,-139.03,Villa Enata
44,Bhimunipatnam,IN,80.6,mist,17.88,83.43,Hotel Athidi Beach
48,Rikitea,PF,76.35,light rain,-23.12,-134.97,Pension Maro'i
50,Amapa,BR,75.02,scattered clouds,1.0,-52.0,
53,Ocampo,MX,78.06,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
55,Saint George,US,70.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
60,Kavieng,PG,82.4,overcast clouds,-2.57,150.8,Nusa Island Retreat
61,San Pedro,PH,80.6,few clouds,14.35,121.02,OYO 412 Viewfort Venue
63,Ewa Beach,US,82.4,scattered clouds,21.32,-158.01,Parkside By Gentry
65,Itaituba,BR,77.0,broken clouds,-4.28,-55.98,Hotel Campos
70,Hambantota,LK,80.11,broken clouds,6.12,81.12,Bungalow 63
71,Butaritari,KI,83.34,light rain,3.07,172.79,Isles Sunset Lodge
75,Kapaa,US,80.6,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
80,Karratha,AU,81.41,broken clouds,-20.74,116.85,ibis Styles Karratha
82,Cartagena,CO,86.0,scattered clouds,10.4,-75.51,Costa Del Sol
85,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
87,Loandjili,CG,81.39,light rain,-4.76,11.86,Résidence ARCHANGE
88,Kahului,US,79.0,scattered clouds,20.89,-156.47,Maui Seaside Hotel
91,Kiunga,PG,73.62,light rain,-6.12,141.29,Airport Lodge Kiunga
92,Dixon,US,84.99,clear sky,38.45,-121.82,Best Western Plus Dixon Davis
94,Najran,SA,73.4,clear sky,17.49,44.13,محمد هادي ال فطيح
95,Georgetown,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
101,Port Hedland,AU,77.0,overcast clouds,-20.32,118.57,The Esplanade Hotel
102,West Bay,KY,86.0,few clouds,19.37,-81.42,Calypso Cove
107,Tual,ID,83.08,moderate rain,-5.67,132.75,Grand Vilia Hotel
110,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
114,Itarema,BR,78.87,light rain,-2.92,-39.92,Windvillage
117,Vao,NC,74.57,broken clouds,-22.67,167.48,Hotel Kou-Bugny
120,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
121,Hithadhoo,MV,84.18,moderate rain,-0.6,73.08,Scoop Guest House
122,Carnarvon,AU,75.2,overcast clouds,-24.87,113.63,Hospitality Carnarvon
123,Faanui,PF,83.52,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
125,Avarua,CK,82.4,overcast clouds,-21.21,-159.78,Paradise Inn
126,South Venice,US,87.01,haze,27.05,-82.42,Rodeway Inn
128,Aracruz,BR,80.6,overcast clouds,-19.82,-40.27,OYO Hotel Iramar
132,Pisco,PE,73.0,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
136,Cartagena Del Chaira,CO,80.62,broken clouds,1.33,-74.84,HOTEL LA ROCA
139,Marzuq,YE,73.35,light rain,14.4,46.47,
140,Bambanglipuro,ID,80.37,scattered clouds,-7.95,110.28,Puri Brata
143,Adrar,MR,81.54,clear sky,20.5,-10.07,
145,Takoradi,GH,82.08,light rain,4.88,-1.76,Raybow International Hotel
150,Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
156,Saint-Philippe,RE,75.2,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
159,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,Casa Tia Villa
160,Male,MV,84.2,thunderstorm,4.17,73.51,Hotel Octave Maldives
162,Nhulunbuy,AU,78.8,overcast clouds,-12.23,136.77,East Arnhem Real Estate
163,Japura,ID,73.85,overcast clouds,-0.32,102.35,KOST dan HOMESTAY RUMAH KITA JOSH
165,Cap Malheureux,MU,77.0,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
167,Cayenne,GF,80.6,clear sky,4.93,-52.33,Hôtel Le Dronmi
169,Lima,PE,78.8,clear sky,-12.04,-77.03,Gran Hotel Bolivar Lima
171,Salalah,OM,82.4,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
172,Inhambane,MZ,76.93,clear sky,-23.86,35.38,MHL Turismo SA
176,Kavaratti,IN,83.57,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
178,Serabu,SL,78.31,light rain,7.8,-12.05,
179,Waddan,LY,78.04,overcast clouds,29.16,16.14,محل الشريف محمد العايب
181,Hualmay,PE,73.04,clear sky,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
182,Aquiraz,BR,82.4,scattered clouds,-3.9,-38.39,Hotel Laguna Blu
192,Avera,US,71.6,clear sky,33.19,-82.53,
193,Richards Bay,ZA,70.03,light rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
196,Siraha,NP,79.12,broken clouds,26.65,86.21,Prashant Yadav Home
198,Matamoros,MX,86.0,broken clouds,25.53,-103.25,Recreativo Sabdy Briseidy
201,Tautira,PF,89.6,few clouds,-17.73,-149.15,Pension Oaoa
205,Tabuk,PH,77.22,light rain,17.42,121.44,Grand Zion Garden Resort Hotel
207,Mbandaka,CD,76.8,broken clouds,0.05,18.26,Guest House Epervier
214,Ojinaga,MX,77.0,clear sky,29.57,-104.42,Suites Las Palmas
215,San Cristobal,VE,87.8,haze,7.77,-72.22,Pirineos
216,Pemangkat,ID,79.05,light rain,1.17,108.97,Kost H.Syamsuddin
218,Alofi,NU,84.2,broken clouds,-19.06,-169.92,Taloa Heights
219,Bowen,AU,79.0,few clouds,-20.02,148.23,Castle Motor Lodge Motel
221,Pandan,PH,80.98,light rain,14.05,124.17,Bonifacio Lodge
222,Trairi,BR,80.13,light rain,-3.28,-39.27,Pousada Field Lilies - Trairi
229,Guarapari,BR,80.6,overcast clouds,-20.67,-40.5,Hotel Porto do Sol
230,Aripuana,BR,74.05,light rain,-9.17,-60.63,
233,Repalle,IN,78.62,clear sky,16.02,80.85,Swarajya nilayam
238,Cockburn Town,TC,79.05,clear sky,21.46,-71.14,Osprey Beach Hotel
239,Thongwa,MM,78.8,few clouds,16.76,96.53,Mhaw Wun Marlar Park
240,Ondangwa,,73.4,clear sky,-17.92,15.95,Protea Hotel by Marriott Ondangwa
241,Sao Jose Da Coroa Grande,BR,80.69,light rain,-8.9,-35.15,Crôa Mares Hotel
243,Cururupu,BR,76.75,light rain,-1.83,-44.87,Pousada Través'cia
244,Sinnamary,GF,78.75,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
247,Vila Velha,BR,80.6,overcast clouds,-20.33,-40.29,Hotel Vitória Palace
249,Fort Wellington,GY,78.44,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
250,Sao Joao Da Barra,BR,78.8,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
253,Manokwari,ID,83.62,light rain,-0.87,134.08,Swiss Belhotel Manokwari
259,Merauke,ID,83.28,light rain,-8.47,140.33,
266,Atambua,ID,74.68,light rain,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
267,Batangafo,CF,80.98,scattered clouds,7.3,18.28,OCHA Office
269,Labuhan,ID,78.42,scattered clouds,-6.88,112.21,bador sepret
271,Xuddur,SO,76.8,broken clouds,4.12,43.89,Banjanay Hotel
272,Kirakira,SB,85.84,light rain,-10.45,161.92,SanBiz Lodge
274,Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
277,Manicore,BR,82.4,light rain,-5.81,-61.3,Pousada da wanda
279,Hapao,PH,71.15,overcast clouds,16.88,121.02,Banaue Chalet
281,Paracuru,BR,82.4,scattered clouds,-3.41,-39.03,Hotel VentoBrasil
282,Grand Gaube,MU,77.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
285,Bontang,ID,80.55,overcast clouds,0.13,117.5,Okra Leaf Guest House Syariah
286,Kendari,ID,74.34,light rain,-3.94,122.5,Hotel Wixel
287,Karimpur,IN,75.67,clear sky,23.97,88.62,gabrudanga jumma masjid
289,Hobyo,SO,83.61,broken clouds,5.35,48.53,
294,Isangel,VU,80.6,few clouds,-19.55,169.27,Volcano Sea View Tree House
296,Puerto Ayora,EC,86.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
298,Ukiah,US,80.6,clear sky,39.15,-123.21,Hampton Inn Ukiah
299,El Paso,US,73.99,few clouds,31.76,-106.49,Hilton Garden Inn El Paso / University
308,Mirabad,AF,70.3,overcast clouds,30.44,61.84,
311,Orapa,BW,72.14,few clouds,-21.28,25.37,
313,Cepu,ID,75.63,scattered clouds,-7.15,111.59,OYO 673 Hotel Cepu Indah 1
314,Kon Tum,VN,71.2,overcast clouds,14.35,108.0,Hoa đà spa- homestay
315,Dingle,PH,82.98,overcast clouds,11.0,122.67,Camp Pasica
319,Guerrero Negro,MX,75.31,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
321,Cabedelo,BR,78.8,light rain,-6.98,-34.83,Lua Mansa Pousada
325,Saint-Joseph,RE,75.2,broken clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
327,Gigmoto,PH,81.37,light rain,13.78,124.39,Cj's Travellers Inn
328,Wanxian,CN,71.64,broken clouds,30.8,108.39,7Days Inn Chongqing Shiqiaopu
330,Amahai,ID,82.96,broken clouds,-3.33,128.92,Hotel isabella
333,Lompoc,US,78.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
337,Honiara,SB,82.4,overcast clouds,-9.43,159.95,Heritage Park Hotel
341,Maningrida,AU,80.67,overcast clouds,-12.07,134.27,Dhukurrdji Lodge
342,Sainte-Suzanne,RE,75.2,clear sky,-20.91,55.61,Gites Ango
343,Henderson,US,79.0,clear sky,36.04,-114.98,Hawthorn Suites By Wyndham Las Vegas/Henderson
348,Cabo San Lucas,MX,82.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
353,Sokolo,ML,80.78,overcast clouds,14.73,-6.12,
355,Moindou,NC,80.6,clear sky,-21.69,165.68,Gite de la RYAWA
356,Caravelas,BR,78.28,light rain,-17.71,-39.25,Pousada dos Navegantes
357,Roebourne,AU,84.9,overcast clouds,-20.78,117.13,Harding River Caravan Park
358,Rundu,,71.6,scattered clouds,-17.93,19.77,Millennia Estate
360,Qena,EG,77.0,clear sky,26.16,32.72,"Grand hotel ""Quena"""
362,Los Chiles,CR,73.99,overcast clouds,11.03,-84.72,Cabinas y Apartamentos Felicia
365,Sambava,MG,74.55,light rain,-14.27,50.17,Melrose
367,Atar,MR,70.57,clear sky,20.52,-13.05,Oumou Elghoura
368,San Patricio,MX,80.6,few clouds,19.22,-104.7,Hotel Cabo Blanco
372,Lucapa,AO,70.93,light rain,-8.42,20.74,Residência Ulisses Dos Santos
374,Poum,NC,79.02,few clouds,-20.23,164.02,Gîte kajeon
375,Vaitape,PF,84.36,broken clouds,-16.52,-151.75,Hotel Maitai Polynesia
379,Ridgecrest,US,78.8,clear sky,35.62,-117.67,SpringHill Suites by Marriott Ridgecrest
384,Kupang,ID,78.8,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
386,Natal,BR,78.8,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
387,Itupiranga,BR,77.0,light rain,-5.13,-49.33,JAIRO ORLINDO VIEIRA
389,Arecibo,PR,82.4,scattered clouds,18.47,-66.72,Caño Tiburones Guest House
391,Pauini,BR,73.2,light rain,-7.71,-66.98,Casa do Kiwliks
394,Kalmunai,LK,80.98,broken clouds,7.42,81.82,VS Villa
397,Bandarbeyla,SO,81.43,light rain,9.49,50.81,REER XOOSHLE GROUP
398,San Juan,AR,78.57,overcast clouds,-31.54,-68.54,Hotel Provincial
400,Maceio,BR,78.8,few clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
410,Ipanguacu,BR,79.05,light rain,-5.5,-36.85,Família Santos
411,Tema,GH,86.0,few clouds,5.67,-0.02,Beulah Royale
414,Kieta,PG,86.67,light rain,-6.22,155.63,
415,Zumarraga,PH,83.93,broken clouds,11.64,124.84,
418,Padang,ID,78.8,light rain,-0.95,100.35,Mercure Padang
422,Yenagoa,NG,79.11,overcast clouds,4.92,6.26,Amba Hotels Limited
424,Lorengau,PG,84.54,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
425,High Rock,BS,84.2,broken clouds,26.62,-78.28,Ocean Pearl Bonefishing Resort
427,Lingao,CN,71.56,overcast clouds,19.91,109.69,Lingao Ditai Inn
429,Altamira,BR,70.86,overcast clouds,-3.2,-52.21,Requinte Hotel
430,Hargeysa,SO,73.02,light rain,9.56,44.06,Imperial Hotel
435,Gbarnga,LR,74.66,overcast clouds,7.0,-9.47,Passion Hotel 2
436,Tutoia,BR,79.41,light rain,-2.76,-42.27,Pousada Guará's
438,Yazman,PK,84.04,few clouds,29.12,71.74,Churahi Karyana Store
442,Isla Mujeres,MX,87.8,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
443,George Town,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
444,Marang,MY,78.8,scattered clouds,5.21,103.21,DBarakah Homestay
446,Vinh,VN,72.07,overcast clouds,18.67,105.67,Thanh Tu Hotel
447,Nabire,ID,77.79,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
449,Ranong,TH,80.46,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
452,Puqi,CN,70.81,clear sky,29.72,113.88,Ramada Plaza Chibi
455,Tarakan,ID,79.41,broken clouds,3.3,117.63,Hotel D' CaLia Tarakan
457,Santa Cruz Del Sur,CU,80.74,clear sky,20.71,-78.0,
461,Sebring,US,89.6,broken clouds,27.5,-81.44,La Quinta Inn & Suites by Wyndham Sebring
463,Saint-Pierre,RE,75.2,broken clouds,-21.34,55.48,Lindsey Hôtel
467,Abu Zabad,SD,70.38,few clouds,12.35,29.25,محي الدين نوري
469,Flinders,AU,73.0,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
470,Sampit,ID,77.16,moderate rain,-2.53,112.95,Aquarius Boutique Hotel Sampit
472,San Pedro De Uraba,CO,86.0,few clouds,8.28,-76.38,Hotel La Gran Manzana
474,Acapulco,MX,82.4,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
475,Laguna,US,84.99,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
476,San Andres,CO,86.0,few clouds,12.58,-81.7,Hotel Arena Blanca
477,Waingapu,ID,81.93,overcast clouds,-9.66,120.26,Pondok Wisata Elim
479,Banda Aceh,ID,80.01,scattered clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
482,Angoche,MZ,77.11,light rain,-16.23,39.91,Guest House HESADA
485,Soyo,AO,80.42,light rain,-6.13,12.37,Hotel Mpampa
486,Anloga,GH,86.0,few clouds,5.79,0.9,Dey Lodge
490,Tanga,TZ,77.97,light rain,-5.07,39.1,Lulu Image Hotel
491,Omboue,GA,80.58,light rain,-1.57,9.26,Hotel Olako
497,Lazaro Cardenas,MX,86.09,scattered clouds,17.96,-102.2,Hotel Quinta Antigua
502,Suba,PH,83.34,few clouds,10.84,121.01,Suba Pensione House
509,Nokaneng,BW,73.8,few clouds,-19.67,22.27,
510,Thinadhoo,MV,84.7,light rain,0.53,72.93,
511,Los Algarrobos,PA,87.8,moderate rain,8.5,-82.43,Waterfall Hostel
512,Quatre Cocos,MU,77.0,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
517,Grand-Santi,GF,76.32,scattered clouds,4.25,-54.38,Hotel La Villa Couacou
519,Bonthe,SL,81.61,light rain,7.53,-12.51,Bonthe Holiday Village
525,Beloha,MG,75.25,broken clouds,-25.17,45.05,
526,Paka,MY,75.2,broken clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
529,Amnat Charoen,TH,80.01,broken clouds,15.86,104.63,โรงแรมระเมียรดาวบูติคเพลส
541,Mount Isa,AU,78.8,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
544,Codajas,BR,75.47,light rain,-3.84,-62.06,Hotel Tamires
546,Carlsbad,US,81.0,haze,33.16,-117.35,Sheraton Carlsbad Resort & Spa
547,Sao Filipe,CV,72.5,broken clouds,14.9,-24.5,Tortuga B&B
550,Maputo,MZ,75.2,few clouds,-25.97,32.59,Pestana Rovuma
551,Sharjah,AE,71.6,light rain,25.36,55.4,Swiss Belhotel Sharjah
